CALCULATED SOCME BETWEEN TRIPLETS AND SINGLETS                  
      --------------------------------------------------------------------------------
           Root                          <T|HSO|S>  (Re, Im) cm-1                     
         T      S             Z                     X                     Y           
      --------------------------------------------------------------------------------
         5      7    (   0.00 ,   -0.04 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.00 )
         5      8    (   0.00 ,    0.06 )    (   0.00 ,   -0.01 )    (  -0.00 ,    0.00 )
         5      9    (   0.00 ,   -0.01 )    (   0.00 ,   -0.38 )    (  -0.00 ,    0.15 )
         5     10    (   0.00 ,   -0.01 )    (   0.00 ,   -0.02 )    (  -0.00 ,   -0.01 )
         6      0    (   0.00 ,   -0.03 )    (   0.00 ,    0.02 )    (  -0.00 ,    0.10 )
         6      1    (   0.00 ,   -0.00 )    (   0.00 ,   -0.04 )    (  -0.00 ,    0.12 )
         6      2    (   0.00 ,   -0.01 )    (   0.00 ,   -0.00 )    (  -0.00 ,    0.00 )
         6      3    (   0.00 ,    0.00 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.00 )
         6      4    (   0.00 ,   -0.00 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.01 )
         6      5    (   0.00 ,   -0.29 )    (   0.00 ,   -0.00 )    (  -0.00 ,   -0.01 )
         6      6    (   0.00 ,   -0.01 )    (   0.00 ,   -0.10 )    (  -0.00 ,    0.14 )
         6      7    (   0.00 ,   -0.00 )    (   0.00 ,   -0.03 )    (  -0.00 ,    0.07 )
         6      8    (   0.00 ,    0.00 )    (   0.00 ,    0.10 )    (  -0.00 ,   -0.19 )
         6      9    (   0.00 ,   -0.13 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.00 )
         6     10    (   0.00 ,   -0.18 )    (   0.00 ,   -0.01 )    (  -0.00 ,   -0.01 )
         7      0    (   0.00 ,    0.01 )    (   0.00 ,   -0.07 )    (  -0.00 ,    0.06 )
         7      1    (   0.00 ,    0.00 )    (   0.00 ,    0.02 )    (  -0.00 ,   -0.03 )
         7      2    (   0.00 ,    0.01 )    (   0.00 ,    0.01 )    (  -0.00 ,   -0.02 )
         7      3    (   0.00 ,   -0.01 )    (   0.00 ,   -0.05 )    (  -0.00 ,    0.08 )
         7      4    (   0.00 ,   -0.00 )    (   0.00 ,   -0.00 )    (  -0.00 ,    0.01 )
         7      5    (   0.00 ,   -0.03 )    (   0.00 ,    0.08 )    (  -0.00 ,   -0.09 )
         7      6    (   0.00 ,   -0.03 )    (   0.00 ,    0.10 )    (  -0.00 ,   -0.11 )
         7      7    (   0.00 ,   -0.00 )    (   0.00 ,    0.01 )    (  -0.00 ,   -0.01 )
         7      8    (   0.00 ,    0.00 )    (   0.00 ,    0.00 )    (  -0.00 ,    0.02 )
         7      9    (   0.00 ,    0.04 )    (   0.00 ,    0.02 )    (  -0.00 ,   -0.03 )
         7     10    (   0.00 ,   -0.01 )    (   0.00 ,    0.03 )    (  -0.00 ,   -0.03 )
         8      0    (   0.00 ,   -0.01 )    (   0.00 ,   -0.06 )    (  -0.00 ,    0.06 )
         8      1    (   0.00 ,   -0.00 )    (   0.00 ,    0.02 )    (  -0.00 ,   -0.03 )
         8      2    (   0.00 ,    0.00 )    (   0.00 ,   -0.01 )    (  -0.00 ,    0.02 )
         8      3    (   0.00 ,   -0.00 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.01 )
         8      4    (   0.00 ,    0.01 )    (   0.00 ,   -0.05 )    (  -0.00 ,    0.08 )
         8      5    (   0.00 ,   -0.04 )    (   0.00 ,   -0.08 )    (  -0.00 ,    0.09 )
         8      6    (   0.00 ,    0.04 )    (   0.00 ,    0.10 )    (  -0.00 ,   -0.10 )
         8      7    (   0.00 ,    0.01 )    (   0.00 ,    0.01 )    (  -0.00 ,   -0.01 )
         8      8    (   0.00 ,   -0.00 )    (   0.00 ,    0.00 )    (  -0.00 ,    0.02 )
         8      9    (   0.00 ,    0.04 )    (   0.00 ,   -0.02 )    (  -0.00 ,    0.03 )
         8     10    (   0.00 ,   -0.01 )    (   0.00 ,   -0.03 )    (  -0.00 ,    0.04 )
         9      0    (   0.00 ,    0.03 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.03 )
         9      1    (   0.00 ,   -0.02 )    (   0.00 ,    0.17 )    (  -0.00 ,   -0.07 )
         9      2    (   0.00 ,    0.00 )    (   0.00 ,    0.03 )    (  -0.00 ,    0.02 )
         9      3    (   0.00 ,    0.00 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.01 )
         9      4    (   0.00 ,   -0.00 )    (   0.00 ,   -0.00 )    (  -0.00 ,    0.00 )
         9      5    (   0.00 ,    0.00 )    (   0.00 ,   -0.01 )    (  -0.00 ,    0.01 )
         9      6    (   0.00 ,    0.00 )    (   0.00 ,   -0.01 )    (  -0.00 ,    0.01 )
         9      7    (   0.00 ,   -0.02 )    (   0.00 ,    0.16 )    (  -0.00 ,   -0.14 )
         9      8    (   0.00 ,   -0.01 )    (   0.00 ,    0.07 )    (  -0.00 ,   -0.06 )
         9      9    (   0.00 ,   -0.00 )    (   0.00 ,   -0.00 )    (  -0.00 ,    0.01 )
         9     10    (   0.00 ,    0.01 )    (   0.00 ,   -0.00 )    (  -0.00 ,   -0.01 )
        10      0    (   0.00 ,    0.03 )    (   0.00 ,    0.00 )    (  -0.00 ,    0.04 )
        10      1    (   0.00 ,   -0.02 )    (   0.00 ,   -0.15 )    (  -0.00 ,    0.06 )
        10      2    (   0.00 ,   -0.00 )    (   0.00 ,    0.04 )    (  -0.00 ,    0.02 )
        10      3    (   0.00 ,    0.00 )    (   0.00 ,    0.00 )    (  -0.00 ,   -0.00 )
        10      4    (   0.00 ,    0.00 )    (   0.00 ,   -0.00 )    (  -0.00 ,    0.01 )
        10      5    (   0.00 ,   -0.00 )    (   0.00 ,   -0.01 )    (  -0.00 ,    0.01 )
        10      6    (   0.00 ,    0.00 )    (   0.00 ,    0.01 )    (  -0.00 ,   -0.01 )
        10      7    (   0.00 ,   -0.03 )    (   0.00 ,   -0.14 )    (  -0.00 ,    0.12 )
        10      8    (   0.00 ,   -0.01 )    (   0.00 ,   -0.06 )    (  -0.00 ,    0.05 )
        10      9    (   0.00 ,    0.00 )    (   0.00 ,   -0.00 )    (  -0.00 ,    0.01 )
        10     10    (   0.00 ,   -0.00 )    (   0.00 ,   -0.00 )    (  -0.00 ,   -0.01 )
